,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
doc_0,,,,,,,,X,,
doc_1,,,,X,,X,,,,
doc_2,,,,X,,X,,,X,
doc_3,,,,X,,X,,,X,
doc_4,,,,X,,X,,,,
doc_5,,,,X,,,,X,,
doc_6,,,,,,,,X,,
doc_7,,,,,,,,X,,
doc_8,,,,,,X,,,,
doc_9,X,X,X,X,X,X,X,X,X,X
doc_10,,,,,,,,X,,
doc_11,,,,,,X,,,,
doc_12,,,,,,X,,,,
doc_13,,,,,,X,,,,
doc_14,,,,,,X,,,,
doc_15,,,,,,X,,,,
doc_16,,,,,,X,,,,
doc_17,,,,X,,,,X,,
doc_18,,,,X,,,,,,
doc_19,,,,,,,,X,,
doc_20,,,,,,X,,X,,
doc_21,,,,,,,,X,,
doc_22,,,,X,,,,,,
doc_23,,,,,,,,X,,
doc_24,,,,,,,,X,,
doc_25,,,,X,,,,,,
doc_26,,,,,,X,,X,,
doc_27,,,,X,,X,,,,
doc_28,X,,,,,X,,,,
doc_29,,,,X,,X,,X,X,
doc_30,,,,,,,,X,,
doc_31,,,,,,X,,,,
doc_32,,,,X,,X,,,,
doc_33,,,,,,X,,X,,
doc_34,,,,X,,X,,,,
doc_35,,,,,,X,,,,
doc_36,,,,,,X,,,,
doc_37,,,,,,X,,,,
doc_38,,,,,,X,,,,
doc_39,,,,X,,,,,,X
doc_40,X,,,X,,,,X,,
doc_41,,,,,,X,,,,
doc_42,,,,,,X,,,,
doc_43,,,,X,,,,,,
doc_44,,,,X,,,,,,
doc_45,,,,X,,X,,,,
doc_46,,,,,,,,X,,
doc_47,,,,,,,,X,,
doc_48,,,,X,,X,,X,X,
doc_49,,,,,,X,,X,,
doc_50,,,,X,,,,X,,
doc_51,,,,X,,,,,,
doc_52,,,,X,,,,,,
doc_53,,,,X,,,,,,
doc_54,,,,X,,,,X,,
doc_55,,,,,,X,,X,,
doc_56,,,,,,X,,,,
doc_57,,,,,,X,,,,
doc_58,,,,X,,X,,,,
doc_59,,,,,,X,,,,
doc_60,,,,,,,,X,,
doc_61,,,,X,,,,X,,
doc_62,,,,X,,X,,X,,
doc_63,,,,,,X,,X,,
doc_64,,,,,,X,,X,,
doc_65,,,,X,,,,,,
doc_66,,,,X,,X,,,,
doc_67,,,,X,,X,,,,
doc_68,,,,,,X,,,,
doc_69,,,,X,,X,,,,
doc_70,,,,X,X,X,,,,
doc_71,,,,X,,X,,,,
doc_72,,,,,,X,,,,X
doc_73,,,,X,,X,,,,
doc_74,X,,,,,X,,,,
doc_75,,,,,,X,,,,
doc_76,,,,X,,X,,,,
doc_77,,,,X,,,,,,
doc_78,,,,,,X,,X,,X
doc_79,,,,,,,,X,,
doc_80,,,,,,,,X,,
doc_81,,,,,,X,,X,,
doc_82,,,,X,,,,,X,
doc_83,,,,,,X,,,,
doc_84,,,,X,,,,,,
doc_85,,,,X,,,,X,X,
doc_86,,,,,,X,,,,
doc_87,,,,,,X,,X,,
doc_88,,,,,,X,,,,
doc_89,,,,,,X,,X,,
doc_90,,,,,,X,,,,
doc_91,,,,X,,,,,,
doc_92,,,,,,,,X,,
doc_93,,,,,,X,,,,
doc_94,,,,,,X,,,,
doc_95,,,,,,X,,,,
doc_96,,,,,,X,,,,
doc_97,,,,X,,X,,,,
doc_98,,,,,,X,,,,
doc_99,,,,X,,X,,X,X,
doc_100,X,,,X,,X,,,,
doc_101,,,,X,,,,X,,
doc_102,,,,,,X,,,,
doc_103,,,,X,,X,,,,
doc_104,,,,,,X,,,,
doc_105,,,,X,,,,,,
doc_106,,,,X,,,,X,,
doc_107,,,,X,,,,,,
doc_108,,,,,,X,,,,
doc_109,,,,,,X,,X,,
doc_110,,,,,,X,,X,,
doc_111,,,,X,,X,,,,
doc_112,,,,,,X,,,,
doc_113,,,,X,,,,,,
doc_114,,,,X,X,X,,,,
doc_115,,,,,,X,,,,
doc_116,,,,,,X,,,,
doc_117,,,,X,,,,,,
doc_118,,,,X,,,,X,,
doc_119,,,,,,X,,,,
doc_120,,,,X,,,,,,
doc_121,,,,X,,,,,,
doc_122,,X,,X,,,,X,,
doc_123,,,,X,,,,,,
doc_124,,,,X,,,,,,
doc_125,,,,X,,,,,,
doc_126,,,,,,X,,,,
doc_127,,,,,,X,,,,
doc_128,X,,,,,X,,,,
doc_129,,,,,,X,,,,
doc_130,,,,X,,X,X,,,
doc_131,,,,,,X,,,,
doc_132,,,,,,X,X,,,
doc_133,,,,,,X,,,,
doc_134,,,,X,,X,,X,,
doc_135,,,,,,X,,,,
doc_136,,,,X,,,,,,
doc_137,,,,X,,,,,,
